genename	transcript	log2FoldChange	padj
PCMTD1	NM_001286782,NM_001286783,NM_052937	-0.8098193432	0.0014003827
TTC39A-AS1	NR_123731	0.146476949	0.8193856283
TACC2	NM_001291876,NM_001291877,NM_001291878,NM_001291879,NM_006997,NM_206860,NM_206861,NM_206862	-0.7805696883	4.35746907920281E-006
STOX2	NM_020225	0.2780389974	0.538578135
RGPD2	NM_001078170,NM_001078170_chr2:87140934_87239861	-0.2484491677	0.593244985
SAFB	NM_001201338,NM_001201339,NM_001201340,NM_002967,NR_037699	-0.1027130308	0.5477820128
MOB1A	NM_018221	0.131867447	0.470248453
GTF2IP1	NR_002206_chr7:74601103_74867641	0.3156745733	0.2396344549
ATP5O	NM_001697	-0.1082868427	0.522813813
CYSRT1	NM_199001	-1.1792269536	0.0006910866
LRIG1	NM_015541	-0.4416687643	0.0083318238
TEX9	NM_001286449,NM_198524	0.0339172491	0.9543313081
NUDT4	NM_001301022,NM_001301023,NM_001301024,NM_019094,NM_199040	-0.0244435472	0.9294308457
SPNS2	NM_001124758	-0.2801660375	0.2664147406
PRH1	NM_001291314,NM_001291315	-0.1231829951	0.8395930654
DR1	NM_001938	0.1526057926	0.4430573879
SLC35D2	NM_001286990,NM_007001,NR_104627	0.1327551288	0.5911810716
VTN	NM_000638	0.0955986304	0.8975062315
SGOL1	NM_001012409,NM_001012410,NM_001012411,NM_001012412,NM_001012413,NM_001199251,NM_001199252,NM_001199253,NM_001199254,NM_001199255,NM_001199256,NM_001199257,NM_138484	1.86510894	7.04871775932529E-016
EBNA1BP2	NM_001159936,NM_006824	0.2940471306	0.1156680997
MYCN	NM_001293228,NM_001293231,NM_001293233	1.9616755402	9.26542655925E-005
NKAIN2	NM_001040214,NM_001300737,NM_001300738,NM_153355	0.1382932996	NA
EXOC6B	NM_015189	0.1776556222	0.4061614625
JUP	NM_002230,NM_021991	0.8082677951	9.65302350020446E-008
ASH1L-AS1	NR_027023	0.2820335211	0.5814103625
ARVCF	NM_001670	0.0053255502	0.989109658
NHP2L1	NM_001003796,NM_005008	0.2197039728	0.1927336124
ZMIZ2	NM_001300959,NM_031449,NM_174929	0.2908663908	0.2390913774
DLC1	NM_001164271,NM_006094,NM_024767,NM_182643	0.234373173	0.1790575248
MED26	NM_004831	-0.047737513	0.8703438158
USE1	NM_018467	0.0833265709	0.853835846
PRKCZ	NM_001033581,NM_001033582,NM_001242874,NM_002744	-0.002892462	0.9894144386
PBRM1	NM_018313	-0.12768172	0.4856541365
SYN1	NM_006950,NM_133499	0.2294755122	NA
SNORA68	NR_000012	-0.7232467163	0.1689392257
ZNF493	NM_001076678,NM_145326,NM_175910	0.6046399058	0.0389903908
INCENP	NM_001040694,NM_020238	1.6356065543	3.29698610009525E-014
CCZ1B	NM_198097	-0.0740181786	0.6626573523
SNORD10	NR_002604	0.0585352932	0.9269916617
ING1	NM_001267728,NM_005537,NM_198217,NM_198218,NM_198219	-0.1345096674	0.6581245771
LOC101593348	NR_103497	-0.6372206449	NA
LRRC75B	NM_207644	0.0787112003	0.9073464152
KLHL20	NM_014458	-0.1547548921	0.4759220384
MRPL28	NM_006428	0.4931679708	0.0143214442
SSPN	NM_001135823,NM_005086	0.1394420741	0.8279358965
DNTTIP2	NM_014597	-0.6564487747	0.000313896
ALKBH5	NM_017758	0.0319721139	0.8478068835
PKIA	NM_006823,NM_181839	-0.0677056021	0.8256976838
SMIM15	NM_001048249	-0.5471349879	4.15823526557765E-005
ARL6IP4	NM_001002251,NM_001002252,NM_001278378,NM_001278379,NM_001278380,NM_016638,NM_018694,NR_103512	0.1086052906	0.4950332723
VCAN	NM_001126336,NM_001164097,NM_001164098,NM_004385	2.0101625519	0.000001561
BCL7C	NM_001286526,NM_004765	0.4992231554	0.0336601973
SLC2A4RG	NM_020062	0.9324743833	1.50348332218174E-016
CRCP	NM_001040647,NM_001040648,NM_001142414,NM_014478,NR_024548	0.2949945548	0.0236930777
TM9SF1	NM_001014842,NM_001289006,NM_006405	-0.0403566276	0.7984217366
NMRK1	NM_001127603,NM_017881,NR_023352	-0.6358313604	0.0208927294
TPI1	NM_001159287,NM_001258026	1.0529478786	9.79951190399986E-011
CNFN	NM_032488	0.2916730386	0.6618733909
ARHGAP44	NM_014859	0.2398584782	0.4177745749
SMCO4	NM_020179	0.1562216559	0.8270767324
CDC42BPA	NM_003607,NM_014826	-0.1750963065	0.2715700861
MIR4697HG	NR_024344	-0.430012814	0.4965866622
KIF13B	NM_015254	0.9563008445	5.97070891248674E-006
CD320	NM_001165895,NM_016579	-0.2240800354	0.4986424187
UBE2O	NM_022066	-0.2930031694	0.1436436127
GEMIN5	NM_001252156,NM_015465	0.2717161686	0.2845852362
PALM3	NM_001145028	-0.4938678892	0.1797174427
MXD4	NM_006454	-0.2676523387	0.2387237687
ARHGEF7	NM_001113511,NM_001113512,NM_001113513,NM_003899,NM_145735	-0.060889312	0.776325456
SH3GLB1	NM_001206651,NM_001206652,NM_001206653,NM_016009	-0.0929340393	0.7036572929
ZFP1	NM_153688	-0.5313917557	0.0014308958
CRELD2	NM_001135101,NM_001284317,NM_001284318,NM_024324,NR_104295	0.5621046111	0.0219925831
IL10RB	NM_000628	-0.2197255166	0.2923624711
C19orf68	NM_199341	0.1147357705	0.8466488336
CFB	NM_001710	0.1605187519	NA
FBXL22	NM_203373	-0.0288392932	0.9676236127
LOC153684	NR_015447	-0.3990763514	0.3288353847
C2orf81	NM_001145054	0.1959002668	0.7094157372
GPD1	NM_001257199,NM_005276	-0.2103469865	NA
C7orf60	NM_152556	-0.2881591096	0.3429191615
PFDN6	NM_001185181,NM_001265595,NM_001265596,NM_014260	0.2990355236	0.2247984444
LINC00304	NR_024347	-0.5939613056	NA
HNRNPL	NM_001005335,NM_001533	0.3891715774	0.0025902107
LOC388692	NR_111933	-0.595902597	0.1038927814
GART	NM_000819,NM_001136005,NM_001136006,NM_175085	0.3786363223	0.0926843963
BOLA3-AS1	NR_045634,NR_045636,NR_045637	0.1924850474	0.7742949294
IPCEF1	NM_001130699,NM_001130700,NM_015553	0.3181432001	0.6343155658
HAS3	NM_001199280,NM_005329,NM_138612	0.1850084323	0.7862624833
RPL27	NM_000988	0.1405577922	0.3940227582
TBC1D4	NM_001286658,NM_001286659,NM_014832	0.150557192	0.651171127
PEBP1	NM_002567	0.1080098517	0.374240906
KHDRBS1	NM_001271878,NM_006559,NR_073498,NR_073499	0.9012982493	2.75892283830273E-016
GGCT	NM_001199815,NM_001199816,NM_001199817,NM_024051,NR_037669	0.4594026488	0.0011249055
CDCA2	NM_152562	1.8314471551	1.32173345204519E-013
LDB2	NM_001130834,NM_001290	-0.0790100869	0.9153726597
BNIP1	NM_001205,NM_013978,NM_013979,NM_013980	-0.2793890176	0.3282738015
PLIN3	NM_001164189,NM_001164194,NM_005817	0.8479101911	1.23094681762363E-008
SUGT1P1	NR_003667	-0.2607197691	0.7000002315
POLR3C	NM_001303456,NM_006468	0.0388206102	0.8331741624
RDX	NM_001260492,NM_001260493,NM_001260494,NM_001260495,NM_001260496,NM_002906	1.1076571555	1.29447700725491E-016
ZNF235	NM_004234	0.2257140779	0.578507369
DUSP4	NM_001394,NM_057158	0.76913632	0.000000219
GNAS	NM_000516,NM_001077488,NM_001077489,NM_001077490,NM_016592,NM_080426,NR_003259	0.800841194	7.76665369651156E-009
SNORA2A	NR_002950	-0.3293832784	0.6195208461
RNASE4	NM_001282192,NM_001282193,NM_002937,NM_194431	0.9769464087	NA
CEP83	NM_001042399,NM_016122	-0.0198370696	0.9564622124
HLTF	NM_003071,NM_139048	-0.3777658833	0.0053362131
LDLR	NM_000527,NM_001195798,NM_001195799,NM_001195800,NM_001195803	0.8708734043	3.93240770972455E-017
TOR1AIP1	NM_001267578,NM_015602	-0.5260235338	0.000019916
AGAP9	NM_001190810,NM_001190810_chr10:47191843_47213626	-1.1798557291	0.0002622705
STK4-AS1	NR_038341	0.2521872221	0.7098752206
ZNF7	NM_001282795,NM_001282796,NM_001282797,NM_003416	-0.3652453476	0.0275717836
DEXI	NM_014015	-0.2320273702	0.3642187463
CEMIP	NM_001293298,NM_001293304,NM_018689	-0.1218492288	0.804478514
FEM1B	NM_015322	-0.2576327706	0.0284595196
NCK1-AS1	NR_110175,NR_110176,NR_110177	0.9652924722	0.0430841244
TM2D1	NM_032027	-1.1207104032	2.41504840168989E-007
MCM8	NM_001281520,NM_001281521,NM_001281522,NM_032485,NM_182802	0.1619135318	0.5261245916
FBXO27	NM_178820	1.6186208285	1.53875079213055E-006
PDP1	NM_001161779,NM_001161780,NM_001161781,NM_018444	-0.6842738362	0.0002519495
OXNAD1	NM_138381	0.1089760063	0.7313178365
LINC00346	NR_027701	1.4222823482	0.000201723
ANO7	NM_001001666,NM_001001891	-0.0133857064	0.9835317904
SBF2	NM_030962	-0.3495587845	0.0836778172
FHIT	NM_001166243,NM_002012	-0.5043970275	0.3983867281
SNORD15A	NR_000005	0.3343086112	0.5823088165
PRKAR2B	NM_002736	0.5077408022	0.0673907983
RHBDD1	NM_001167608,NM_032276	-0.1506853656	0.4844106046
LIPA	NM_000235,NM_001127605,NM_001288979	-0.2880041438	0.0515555535
NOTCH2	NM_001200001,NM_024408	0.0719064101	0.7498189468
PHLDB3	NM_198850	0.0712876244	0.824812192
ARAF	NM_001256196,NM_001256197,NM_001654	-0.161741718	0.312861441
SEMA4C	NM_017789	-1.4804030663	4.36962357037959E-013
MGST1	NM_001260511,NM_001260512,NM_001267598,NM_020300,NM_145764,NM_145791,NM_145792,NR_048545,NR_048547	-0.1110797461	0.4971542568
C1orf131	NM_001300830,NM_152379	-0.5656199701	0.0081433227
BCL2L11	NM_001204106,NM_001204107,NM_001204108,NM_001204109,NM_001204110,NM_001204111,NM_001204112,NM_001204113,NM_006538,NM_138621,NM_138622,NM_138623,NM_138624,NM_138625,NM_138626,NM_138627,NM_207002,NM_207003	-0.1749764472	0.2822329982
SVIP	NM_148893	-0.6250003838	0.0017882307
TYK2	NM_003331	-0.4368175632	0.0090506067
JUND	NM_001286968	0.5908026125	0.0046288201
LINC00271	NR_026805	-0.3466447803	NA
SRPK3	NM_001170760,NM_001170761,NM_014370	-1.0340546036	NA
FBLL1	NR_024356	0.1002718782	NA
RAB15	NM_198686	-0.1319511205	0.4773052544
EFCAB7	NM_032437	-0.3447610793	0.5238754043
SNAR-A1	NR_004435,NR_004435_chr19:48421685_48421807	-0.122309135	0.7910801545
TMED7	NM_181836	-0.869918787	2.95588578258462E-008
COL6A1	NM_001848	1.0853997737	0.0248949697
VASH2	NM_001136474,NM_001136475,NM_001301056,NM_024749	0.3293319915	0.5612421215
BAZ1B	NM_032408	0.3277865333	0.0075548029
IL17RB	NM_018725	-0.5297627907	0.1824803466
PBDC1	NM_001300888,NM_016500	-0.0854701502	0.8035658435
SMCHD1	NM_015295	-0.0448267116	0.7997626279
SOX30	NM_007017,NM_178424	0.2536694019	NA
AP5Z1	NM_014855	-0.8066979797	9.67755506236341E-007
ATP13A4	NM_032279	0.7793481676	0.1619295168
ABCC4	NM_001105515,NM_001301829,NM_001301830,NM_005845	0.5951149019	0.0412824458
C19orf67	NM_001277378	-0.6333339302	NA
SURF2	NM_001278928,NM_017503	0.4003352925	0.0844814082
AGPAT2	NM_001012727,NM_006412	-0.3913914998	0.0338237839
TIAF1	NM_004740	-1.5962261273	NA
PTRH2	NM_016077	-0.9315626261	1.47310430800272E-012
C2orf68	NM_001013649	0.1158316801	0.5667741716
MCC	NM_001085377,NM_002387	-0.230906505	0.4211203422
KLHDC4	NM_001184854,NM_001184856,NM_017566	0.6030960653	0.0010434777
PROSER2-AS1	NR_038222	0.3834678672	NA
KCNRG	NM_173605,NM_199464	0.2145719462	0.7576869264
GRINA	NM_000837,NM_001009184	0.1233995547	0.4682725109
SRSF3	NM_003017,NR_036610	0.1855793181	0.0954859459
KIF18B	NM_001264573,NM_001265577	1.8915331441	0.000000001
RUSC2	NM_001135999,NM_014806,NR_052015	0.3524761213	0.134965034
NFKB2	NM_001077494,NM_001261403,NM_001288724,NM_002502	-0.3223822479	0.1553800903
CGN	NM_020770	-0.1151088649	0.6553008565
LOC101927765	NR_125961,NR_125962	-0.9674157935	0.0718532961
SIM2	NM_005069,NM_009586	-0.2782452649	0.5065372422
ERCC1	NM_001166049,NM_001983,NM_202001	0.3101330773	0.0741915991
PDE6A	NM_000440	-0.3813120645	0.5522519259
CCDC78	NM_001031737	-1.0804485716	0.0018833751
SRCAP	NM_006662	0.4829677518	0.0565990795
CAMSAP1	NM_015447	0.0529515454	0.7561980415
YTHDF3-AS1	NR_102684	-0.1558018197	0.8008335328
NNT-AS1	NR_073113	0.4916815939	0.1869300597
NDUFA4	NM_002489	-0.5561901226	7.37573923251374E-006
RMDN3	NM_018145	-0.3295182116	0.0634002412
NFKBIB	NM_001243116,NM_002503,NR_040515	-0.1990605294	0.4627999221
WDR36	NM_139281	-0.4075725931	0.0016915617
FANCC	NM_000136,NM_001243743,NM_001243744	0.8717812784	6.46562911153127E-006
SEPT2	NM_001008491,NM_001008492,NM_001282972,NM_001282973,NM_004404,NM_006155	0.246831884	0.0461381185
ARF6	NM_001663	-0.1338843479	0.5165107178
LSM3	NM_014463	0.060034682	0.7705155875
LOC101927768	NR_125845	0.0135613884	NA
TMEM63A	NM_014698	-0.2016106744	0.2977843336
NAE1	NM_001018159,NM_001018160,NM_001286500,NM_003905	0.3313702849	0.1019324224
RHOT2	NM_138769	-0.5635031101	0.0011626387
GRID2IP	NM_001145118	0.1114488249	0.8732976938
PNPT1	NM_033109	-0.4975679344	0.0020075349
LARGE-AS1	NR_038949,NR_038950	0.5317715805	0.3623317744
MRPL9	NM_001300733,NM_031420,NR_125331	0.3776770079	0.0474746218
KIAA1328	NM_020776	0.1296050841	0.7947823064
RBM11	NM_144770	0.4485930987	0.4580077572
INPP5K	NM_001135642,NM_016532,NM_130766	-0.9107310938	2.48922485136149E-010
ASF1B	NM_018154	1.8666202512	1.05117581913918E-020
LMX1B	NM_001174146,NM_001174147,NM_002316	0.2832421858	0.1196806688
ARHGEF4	NM_015320,NM_032995	0.4780944459	0.1933400389
ALYREF	NM_005782	0.6081567722	0.0036166933
LOC100133050	NR_027503	0.309976988	NA
CCDC39	NM_181426	-0.5303563348	0.3468460305
MSRB2	NM_012228	0.1682939877	0.531332601
IGF2R	NM_000876	-0.2099697652	0.1697832094
ST3GAL4-AS1	NR_033839	-0.2644157784	NA
HDAC9	NM_001204144,NM_001204145,NM_001204146,NM_001204147,NM_001204148,NM_014707,NM_058176,NM_178423,NM_178425	-0.8723058505	NA
RNF10	NM_014868	0.6928633469	0.000001923
POR	NM_000941	0.2831242334	0.1038754513
KCTD1	NM_001136205,NM_001142730,NM_001258221,NM_001258222,NM_198991	0.4952541296	0.0527463452
MYLK-AS1	NR_038266,NR_121654	-0.6434998771	0.1704001588
TUB	NM_003320,NM_177972	1.010083018	NA
PHGDH	NM_006623	2.5954300521	2.98214383046833E-030
HEG1	NM_020733	0.5793879163	0.0605958053
YPEL2	NM_001005404	-0.3414382285	0.3280285171
NBPF11	NM_001101663,NM_001101663_chr1:146032541_146066256,NM_183372,NM_183372_chr1:146032541_146082633,NR_046188,NR_046188_chr1:146032541_146082633,NR_110864,NR_110864_chr1:146032541_146082633	-1.080744462	2.22613349587392E-015
LGALS8	NM_006499,NM_201543,NM_201544,NM_201545	-0.8380942212	1.00216256251748E-006
PELP1	NM_001278241,NM_014389	0.0100535817	0.9671255115
LINC00265	NR_026999	0.3260442455	0.4935571295
LRRC56	NM_198075	-0.7168107258	0.0784668515
LENG9	NM_001301782	0.3405087923	0.3642187463
FAM86C1	NM_001099653,NM_018172,NM_152563	0.4346082109	0.2196458267
DPYD	NM_000110,NM_001160301	-0.0752623922	0.8547670499
DNAAF2	NM_001083908,NM_018139	-0.4016401656	0.0217137267
DEPTOR	NM_001283012,NM_022783	0.5775214265	0.0255344775
FLJ10038	NR_026891	-0.756154306	2.54923310060555E-006
TEX10	NM_001161584,NM_017746	0.3751137741	0.0405337309
TMEM30B	NM_001017970	0.1346457621	0.4900674122
AGMAT	NM_024758	1.5909094162	6.00891047004172E-005
ZCCHC7	NM_001289119,NM_001289120,NM_001289121,NM_032226,NR_110317	0.1559183832	0.5537585707
CMTM4	NM_178818,NM_181521	0.9405522489	5.44962871154016E-014
ACAD8	NM_014384	-0.0572879235	0.8615816605
AIM1	NM_001624	-0.4195791482	0.0116626297
SRPK2	NM_001278273,NM_182691,NM_182692	0.1275841377	0.3997008853
TIMMDC1	NM_016589	-0.0440063098	0.832648297
TINF2	NM_001099274,NM_012461	-0.1322593127	0.4915260452
KIAA0319	NM_001168374,NM_001168375,NM_001168376,NM_001168377,NM_001252328,NM_014809	0.0709230877	0.9167431764
FLJ43681	NR_029406	-0.479588745	0.1584338399
HSDL1	NM_001146051,NM_031463	-0.4589368273	0.0057090837
VAV2	NM_001134398,NM_003371	0.1062757795	0.4564619995
ZNF791	NM_153358	-0.236152251	0.2364940223
LRRC8E	NM_001268284,NM_001268285,NM_025061	-0.8068874707	6.01711836378694E-005
DAZAP1	NM_018959,NM_170711	0.8551817076	4.82261851039477E-005
C1QTNF6	NM_031910,NM_182486	0.5934932405	0.0005840231
RIC1	NM_001135920,NM_001206557,NM_020829	-0.0740071081	0.7036572929
IFI6	NM_002038,NM_022872,NM_022873	1.4494004973	2.62390236165455E-006
NDUFA12	NM_001258338,NM_018838	0.0298605575	0.898702538
DOCK7	NM_001271999,NM_001272000,NM_001272001,NM_001272002,NM_033407	0.2607278284	0.124057796
MCTP2	NM_001159643,NM_001159644,NM_018349	0.4619300307	NA
ID2	NM_002166	0.2562877602	0.1015767655
TMEM86A	NM_153347	0.0090939378	0.9889929993
TERF2	NM_005652	-0.0990371729	0.6932556992
CNBP	NM_001127192,NM_001127193,NM_001127194,NM_001127195,NM_001127196,NM_003418	-0.1405162587	0.4956412372
STAG3L2	NR_040584	0.294473541	0.2978377531
LOC100129434	NR_125368	0.0030359114	0.9894223472
MED12	NM_005120	0.3330620173	0.1474256906
HIST2H2BC	NR_036461	0.1675767787	0.6185466937
ING4	NM_001127582,NM_001127583,NM_001127584,NM_001127585,NM_001127586,NM_016162	-0.6963960266	0.004834556
FLJ41200	NR_033863	-0.9968708829	0.0741311041
PEX11B	NM_001184795,NM_003846,NR_073491,NR_073492,NR_073493	-0.208054658	0.2585292328
BHLHB9	NM_001142524,NM_001142525,NM_001142526,NM_001142527,NM_001142528,NM_001142529,NM_001142530,NM_030639	0.1457735588	0.6566328026
SRA1	NM_001035235,NM_001253764,NR_045586,NR_045587	0.2087372629	0.3867783261
CCDC92	NM_025140	-0.1298015442	0.6971709658
CITED2	NM_001168388,NM_001168389,NM_006079	0.2170217459	0.271903444
FLJ37035	NR_033847	-0.7794379508	0.1812502043
OAT	NM_000274,NM_001171814	-0.0675351695	0.6994247984
RASSF1-AS1	NR_109831	0.0774668361	NA
EMB	NM_198449	-0.3285928179	0.1285904408
CDC34	NM_004359	0.3333061804	0.0997860627
PPP6C	NM_001123355,NM_001123369,NM_002721	0.6015941361	5.9204211251168E-006
JARID2-AS1	NR_120502	-0.1728810519	NA
ALG3	NM_001006941,NM_005787,NR_024533,NR_024534	0.4912533295	0.0537166436
ST6GAL1	NM_003032,NM_173216,NM_173217	0.0902669121	0.9023475493
SLC25A26	NM_001164796,NM_173471,NR_028475	-0.0550588059	0.8633258664
KAT2A	NM_021078	0.4137502921	0.2322783009
CLDN1	NM_021101	-1.0804476446	0.0008004793
QPRT	NM_014298	0.4621269144	0.007014202
CHCHD6	NM_032343	0.0069900242	0.989092856
TMEM254	NM_001270367,NM_001270368,NM_001270369,NM_001270370,NM_001270371,NM_001270372,NM_001270373,NM_001270374,NM_025125,NR_072984,NR_072985,NR_072986,NR_072987	0.6156542182	0.0263572331
TMC3-AS1	NR_120365	0.1836903339	NA
RUNDC1	NM_173079	-0.448063107	0.0082842784
IFI30	NM_006332	-0.9221256211	6.14539344708503E-009
LNX2	NM_153371	0.2314845113	0.1367744989
FAM120AOS	NM_198841	0.1254255832	0.4949672187
SP2	NM_003110	0.0565945721	0.9027538727
PDZD8	NM_173791	-0.8211890863	3.63876242358519E-005
PCDHGA5	NM_018918,NM_032054	0.2216734599	0.6742870953
LOC100132057	NR_111930,NR_111930_chr1:147874635_147904682	-0.1945470848	NA
ERCC6	NM_000124	-0.4383163013	0.0077686755
LRRCC1	NM_033402	-0.2197511345	0.606888105
CHCHD7	NM_001011667,NM_001011668,NM_001011669,NM_001011670,NM_001011671,NM_024300	-0.2371411335	0.3863473258
ATAD3B	NM_031921	-0.8876139546	0.000222672
CACNA2D4	NM_172364	0.1809087909	0.7960487975
ZNF552	NM_024762	0.5952724075	0.0042486069
AMY2B	NM_020978	-0.2269113051	NA
C12orf10	NM_021640	0.0254513899	0.9304631418
LOC101930071	NR_126041	0.4474206099	NA
ITIH6	NM_198510	-0.045415632	0.9376507411
SPRED3	NM_001042522,NR_073032	-0.182038909	0.7944394606
LOC101928163	NR_110799	1.0882846868	NA
LINC00641	NR_038970,NR_038971	-0.5533545378	0.0727717048
FLCN	NM_144606,NM_144997	-0.0757685566	0.7076221947
EBP	NM_006579	0.6580987677	6.39964815320157E-006
NRG2	NM_001184935,NM_004883,NM_013981,NM_013982,NM_013983	0.1316288054	NA
PDE7B	NM_018945	0.1345208567	NA
ELF2	NM_001276457,NM_001276458,NM_001276459,NM_006874,NM_201999	0.0751762598	0.6959592123
IL13RA1	NM_001560	-0.2227394	0.0974865344
GLUD1P3	NR_048575	-0.7476475448	0.1145097112
PLAG1	NM_001114634,NM_001114635,NM_002655	-0.1831380269	0.7904927786
CTU2	NM_001012759,NM_001012762	0.653852118	0.0080974663
LRP1	NM_002332	0.2287957634	0.3261441324
FAM200A	NM_145111	-0.1865054158	0.5476411133
CSRP2	NM_001300965,NM_001321	1.0731824608	0.0532885908
SPRN	NM_001012508	-0.8204949093	0.0112296052
EPM2A	NM_001018041,NM_005670	-0.0457078827	0.9167431764
LOC101927374	NR_110133	-0.3842677157	0.1700597053
BCAN	NM_021948,NM_198427	0.7572734008	NA
PRELID1	NM_001271828,NM_013237	0.6104605746	0.0039794541
PRDX4	NM_006406	0.2889414377	0.0825496472
FBXO32	NM_001242463,NM_058229,NM_148177	-0.6481532968	0.0703716883
TRIM3	NM_001248006,NM_001248007,NM_006458,NM_033278	-0.0055517861	0.9903697675
JAK2	NM_004972	-0.084519178	0.8860649141
LINC00116	NR_027063	-0.2738171204	0.1903671568
DMRTA1	NM_022160	-0.8301864076	0.0008327186
BOK	NM_032515	0.5814883573	0.0006116469
ACYP1	NM_001107,NM_001302616,NM_001302617,NR_126393,NR_126394,NR_126395	0.1194353735	0.8089826062
AGPAT3	NM_001037553,NM_020132	0.1100490769	0.5608456292
CBX1	NM_001127228,NM_006807	0.2938231174	0.0148483317
SLC23A2	NM_005116,NM_203327	0.0992327997	0.7309974465
LOC399715	NR_040079	-0.7066121619	NA
FAM225A	NR_024366	1.2869782699	4.02463440140344E-006
PHIP	NM_017934	-0.0100651235	0.9609805383
PCDHGA2	NM_018915,NM_032009	1.1068861087	0.0013755439
ABLIM3	NM_001301015,NM_001301018,NM_001301027,NM_001301028,NM_014945	0.3054753058	0.2638167564
EPCAM	NM_002354	-0.3967723814	0.001495402
CSTF3	NM_001033505,NM_001033506,NM_001326	-0.0730084846	0.758327002
ALKBH2	NM_001001655,NM_001145374,NM_001145375,NM_001205179,NM_001205180	-0.4834517804	0.0598331329
RHOU	NM_021205,NR_037962	0.1041998549	0.6393821597
NAA15	NM_057175	0.1650954405	0.4720105483
RIC8A	NM_001286134,NM_021932	-0.2785484518	0.1127658187
CAP2	NM_006366	0.0498636826	0.8157107552
YWHAQ	NM_006826	0.3665019476	0.0043955334
RCBTB2	NM_001268,NM_001286830,NM_001286831,NM_001286832	-0.0829324355	0.8986290357
PHF23	NM_001284517,NM_001284518,NM_024297	-0.2320618482	0.1812502043
WDFY3	NM_014991	-0.1056595931	0.4551851575
EPAS1	NM_001430	-0.6992157691	0.0005057465
DYRK2	NM_003583,NM_006482	-0.2669981005	0.1016726434
RABL2B	NM_001003789,NM_001130919,NM_001130920,NM_001130921,NM_001130922,NM_001130923,NM_007081	-0.4591910562	0.1562255746
TADA2A	NM_001166105,NM_001291918,NM_001488,NM_133439	0.3117476919	0.3030986725
ANKRD11	NM_001256182,NM_001256183,NM_013275,NR_045839	0.424595947	0.0003445855
ACTL10	NM_001024675	-0.1736791129	0.6694878255
CHMP6	NM_024591	-0.0066183329	0.9839916261
SCNN1B	NM_000336	-2.2175419338	6.29607378220384E-011
CARHSP1	NM_001042476,NM_001278260,NM_001278261,NM_001278262,NM_001278263,NM_001278264,NM_001278265,NM_001278266,NM_014316	0.2936934456	0.0618093474
FBXO48	NM_001024680	0.7034379854	0.2313270121
MCTP1	NM_001002796,NM_001297777,NM_024717	1.0763277283	NA
MINOS1-NBL1	NM_001204088,NM_001204089	0.9616296407	0.048617115
RASEF	NM_152573	-0.6518366062	0.0027235723
P2RY11	NM_002566	-0.8104733257	0.0338010838
SLAIN1	NM_001040153,NM_001242868,NM_001242869,NM_001242870,NM_001242871,NM_144595	0.8626005471	0.0270858421
RGMB-AS1	NR_033932	0.5263163598	NA
LOC652276	NR_015441	-0.4375046784	0.2002795455
VOPP1	NM_001284282,NM_001284283,NM_001284284,NM_030796	0.1661273054	0.3151315053
SEMA3C	NM_006379	-0.5111859734	0.0125681234
PSMA5	NM_001199772,NM_001199773,NM_001199774,NM_002790	-0.0474757242	0.7718134912
ZFP69B	NM_023070	0.5015922439	0.2827008501
